company_plot_number,attack_yr,MAT,MWMT,MAP,MSP,CMI
6.1,2011,2.9,15.1,545,382,11.03
6.2,2011,2.9,15.1,545,382,11.01
6.3,2011,2.9,15.1,545,382,11.04
6.4,2011,2.9,15.1,546,382,11.07
8.1,2011,2.9,14.9,551,384,12.8
8.2,2011,2.9,14.9,550,384,12.68
8.3,2011,2.9,14.9,551,384,12.77
8.4,2011,2.9,15,549,384,12.56
9.1,2011,2.9,14.8,555,388,13.89
9.2,2011,2.9,14.8,554,387,13.75
9.3,2011,2.9,14.8,554,387,13.73
9.4,2011,2.9,14.8,554,388,13.86
14.1,2015,2.8,15.3,528,365,8.71
14.2,2015,2.8,15.4,526,364,8.5
14.3,2015,2.8,15.4,524,362,8.17
14.4,2015,2.8,15.3,527,365,8.68
55.1,2006,3,14.4,563,361,15.76
55.2,2006,3,14.4,564,361,15.87
55.3,2006,3,14.4,566,363,16.15
55.4,2006,3,14.4,565,362,15.94
56.1,2009,3,14.4,564,362,15.72
56.2,2009,2.9,14.4,562,360,15.36
56.3,2009,3,14.4,563,361,15.5
56.4,2009,3,14.4,565,362,15.83
57.1,2006,3,14.4,569,365,16.49
58.4,2006,3,14.4,570,366,16.65
59.2,2009,3,14.4,568,365,16.28
61.1,2006,3,14.4,567,364,15.99
61.2,2006,3,14.4,568,365,16.14
61.3,2006,3,14.4,568,364,16.1
61.4,2006,3,14.4,569,365,16.2
62.1,2006,3,14.4,566,364,15.81
63.1,2009,2.9,14.4,566,363,15.74
63.2,2009,3,14.4,568,365,15.98
63.3,2009,2.9,14.4,566,363,15.68
63.4,2009,2.9,14.4,566,363,15.72
65.1,2006,2.9,14.4,557,357,14.33
65.2,2006,2.9,14.4,556,357,14.32
65.3,2006,2.9,14.4,559,358,14.66
65.4,2006,2.9,14.4,557,357,14.41
68.1,2006,2.8,14.5,552,354,13.15
68.2,2006,2.8,14.5,553,354,13.29
68.3,2006,2.8,14.5,556,356,13.6
68.4,2006,2.8,14.5,555,356,13.49
69.2,2006,2.7,14.6,541,346,11.66
70.1,2006,2.7,14.6,544,349,11.83
