company_plot_number,attack_yr,x_coord,y_coord,latitude,longitude
6.1,2011,536368.095,6016846.687,54.298221,-116.441177
6.2,2011,536287.933,6016794.987,54.297762,-116.442415
6.3,2011,536234.333,6016878.499,54.298516,-116.443228
6.4,2011,536319.745,6016929.049,54.298964,-116.44191
8.1,2011,545714.7429,6017545.243,54.303748,-116.297463
8.2,2011,545618.5451,6017494.463,54.3033,-116.298949
8.3,2011,545568.1651,6017590.221,54.304165,-116.299708
8.4,2011,545663.5229,6017639.231,54.304597,-116.298235
9.1,2011,548885.698,6019829.827,54.323985,-116.248362
9.2,2011,548803.586,6019777.927,54.323526,-116.249633
9.3,2011,548753.286,6019861.639,54.324283,-116.250393
9.4,2011,548835.398,6019910.839,54.324718,-116.249122
14.1,2015,555809.6133,6015354.802,54.28306,-116.142753
14.2,2015,555744.7507,6015304.202,54.282612,-116.143758
14.3,2015,555694.3007,6015369.014,54.2832,-116.144521
14.4,2015,555758.9633,6015419.054,54.283643,-116.143519
55.1,2006,371755.095,6055384.845,54.629569,-118.986684
55.2,2006,371672.633,6055334.245,54.629094,-118.987938
55.3,2006,371622.363,6055416.657,54.629821,-118.988752
55.4,2006,371704.445,6055467.257,54.630297,-118.987504
56.1,2009,372685.7509,6056236.528,54.637454,-118.972646
56.2,2009,372590.4731,6056186.428,54.63698,-118.9741
56.3,2009,372540.1031,6056281.506,54.637822,-118.974921
56.4,2009,372635.4509,6056331.746,54.638297,-118.973467
57.1,2006,371589.6809,6056252.163,54.637317,-118.989625
58.4,2006,371299.2743,6056717.687,54.641424,-118.994326
59.2,2009,372000.4155,6057059.037,54.644668,-118.983618
61.1,2006,371230.316,6058526.957,54.657657,-118.99619
61.2,2006,371147.934,6058476.737,54.657184,-118.997445
61.3,2006,371095.664,6058558.769,54.657908,-118.99829
61.4,2006,371179.746,6058609.669,54.658387,-118.99701
62.1,2006,371905.793,6059738.877,54.668713,-118.986257
63.1,2009,371522.577,6059929.252,54.670326,-118.992279
63.2,2009,371440.545,6059878.652,54.66985,-118.993528
63.3,2009,371391.495,6059961.064,54.670578,-118.994325
63.4,2009,371472.357,6060011.334,54.67105,-118.993094
65.1,2006,372279.1819,6061653.635,54.686006,-118.981309
65.2,2006,372184.0241,6061603.695,54.685533,-118.982762
65.3,2006,372133.2941,6061698.613,54.686373,-118.98359
65.4,2006,372229.0019,6061748.693,54.686847,-118.982128
68.1,2006,374346.124,6065412.747,54.720289,-118.950886
68.2,2006,374264.702,6065362.887,54.71982,-118.952128
68.3,2006,374213.852,6065444.559,54.720541,-118.952952
68.4,2006,374296.514,6065495.059,54.721015,-118.951691
69.2,2006,374153.0141,6067211.948,54.7364,-118.95466
70.1,2006,373282.925,6067647.717,54.740095,-118.968355
70.2,2006,373200.723,6067596.967,54.739619,-118.969609
70.3,2006,373150.353,6067679.529,54.740348,-118.970427
70.4,2006,373232.535,6067729.799,54.74082,-118.969173
75.1,2006,370727.1573,6038940.011,54.481606,-118.995371
76.1,2009,370712.8055,6037870.411,54.471995,-118.995125
77.1,2009,371546.1775,6037185.587,54.466056,-118.981976
78.2,2009,370632.6297,6036782.622,54.462205,-118.995886
80.1,2014,371207.4429,6034858.389,54.445068,-118.986186
84.1,2006,392049.8603,6051404.492,54.598562,-118.670988
84.2,2006,392010.5857,6051383.692,54.598366,-118.671588
84.3,2006,391989.8857,6051424.616,54.59873,-118.671923
84.4,2006,392030.7103,6051443.966,54.598912,-118.671298
85.1,2006,391777.5793,6050738.201,54.592518,-118.674955
85.2,2006,391737.1547,6050718.401,54.592331,-118.675573
85.3,2006,391716.9047,6050758.325,54.592686,-118.675901
85.4,2006,391757.2793,6050778.605,54.592877,-118.675283
86.1,2006,392239.0499,6048498.773,54.572499,-118.666994
86.2,2006,392143.2721,6048447.953,54.572022,-118.668456
86.3,2006,392092.6221,6048543.751,54.572872,-118.669275
86.4,2006,392188.2499,6048593.951,54.573343,-118.667815
87.1,2011,392578.9459,6047224.732,54.561126,-118.661273
87.2,2011,392514.0181,6047204.302,54.560929,-118.662269
87.3,2011,392493.5381,6047269.71,54.561512,-118.66261
87.4,2011,392558.9959,6047289.92,54.561708,-118.661605
88.1,2006,391296.39,6046763.665,54.556711,-118.680928
88.2,2006,391214.678,6046712.005,54.556229,-118.682172
88.3,2006,391163.748,6046795.477,54.556968,-118.68299
88.4,2006,391246.49,6046845.297,54.557433,-118.681729
89.1,2006,388422.3035,6046261.629,54.551575,-118.725159
89.2,2006,388343.0605,6046211.13,54.551104,-118.726364
89.3,2006,388292.5705,6046290.073,54.551802,-118.727174
